[DEBUG] 2021-03-26 19:48:29.169 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-26 19:48:29.176 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-26 19:48:29.183 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-03-26 19:48:29.273 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-03-26 19:48:29.278 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-03-26 19:48:29.506 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-03-26 19:48:29.512 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-03-26 19:48:29.517 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-03-26 19:48:29.789 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-03-26 19:48:29.811 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-03-26 19:48:29.813 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-03-26 19:48:29.830 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-03-26 19:48:29.853 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1c5c616f
[DEBUG] 2021-03-26 19:48:29.853 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1c5c616f
[DEBUG] 2021-03-26 19:48:29.853 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1c5c616f
[DEBUG] 2021-03-26 19:48:29.854 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@73437222
[DEBUG] 2021-03-26 19:48:29.855 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@57a2ed35
[DEBUG] 2021-03-26 19:48:29.855 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@9d3c67
[DEBUG] 2021-03-26 19:48:29.856 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@46d63dbb
[DEBUG] 2021-03-26 19:48:29.856 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@46d63dbb
[DEBUG] 2021-03-26 19:48:29.856 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@46d63dbb
[DEBUG] 2021-03-26 19:48:29.858 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@23592946
[DEBUG] 2021-03-26 19:48:29.858 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@23592946
[DEBUG] 2021-03-26 19:48:29.858 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@23592946
[DEBUG] 2021-03-26 19:48:29.865 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@702c436b
[DEBUG] 2021-03-26 19:48:29.865 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@702c436b
[DEBUG] 2021-03-26 19:48:29.865 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@702c436b
